
Liste des tickets avec taches GLPI migrees vers DSIHUB
Total: 11279 tickets, 15577 taches GLPI migrees
Ticket #96 | Archivage fichiers de pointage | 1 tache(s) | IDs GLPI: 51114
Ticket #908 | accès dossier secteur MTV  DEP ( X:) &gt;RESPONSABLE SECRETARIAT MTV&gt; CONGES ANNUELS &gt; CONGES ANNUELS 2020 &gt; Secteur Voirie 2020 | 1 tache(s) | IDs GLPI: 50131
Ticket #911 | Problème photocopieur DSF | 1 tache(s) | IDs GLPI: 50129
Ticket #914 | BONJOUR  PAS DE CONNEXION ORDINATEUR DE ROSA P  13145  La mémoire sera | 1 tache(s) | IDs GLPI: 50127
Ticket #921 | demande de création de compte | 3 tache(s) | IDs GLPI: 50118,50120,50122
Ticket #922 | plus aucun réseau pour tous les utils à Rigaud | 1 tache(s) | IDs GLPI: 50116
Ticket #924 | demande de dépannage | 2 tache(s) | IDs GLPI: 50112,50113
Ticket #929 | demande quota | 1 tache(s) | IDs GLPI: 50108
Ticket #931 | espace disponible | 1 tache(s) | IDs GLPI: 50107
Ticket #932 | SPE -  pas accés sur Outlook | 1 tache(s) | IDs GLPI: 50106
Ticket #934 | installation certificat Certinomis | 1 tache(s) | IDs GLPI: 50105
Ticket #935 | PROBLEME URGENT | 1 tache(s) | IDs GLPI: 50104
Ticket #936 | Problème connexion | 2 tache(s) | IDs GLPI: 50099,50102
Ticket #938 | TR: Ouverture de droits | 1 tache(s) | IDs GLPI: 50097
Ticket #939 | Transfert de données outlook depuis des clés USB | 1 tache(s) | IDs GLPI: 50095
Ticket #941 | CMS - HOTLINE - COMPTE CAPPELLI Solenne | 1 tache(s) | IDs GLPI: 50093
Ticket #942 | Bonjour    J’arrive sur le poste au scc ce jour, pourriez vous m’accor | 2 tache(s) | IDs GLPI: 50087,50089
Ticket #943 | Accès webmail | 1 tache(s) | IDs GLPI: 50085
Ticket #944 | TR: PROBLEME URGENT | 1 tache(s) | IDs GLPI: 50083
Ticket #948 | TR: SPE -  pas accés sur Outlook | 1 tache(s) | IDs GLPI: 50080
Ticket #949 | recherche d'un dossier supprimé  | 1 tache(s) | IDs GLPI: 50079
Ticket #950 | RE: imprimante en panne | 1 tache(s) | IDs GLPI: 50078
Ticket #951 | Installation outil de capture JING | 1 tache(s) | IDs GLPI: 50075
Ticket #952 | RE: CMS - HOTLINE - COMPTE CAPPELLI Solenne | 3 tache(s) | IDs GLPI: 50070,50071,50072
Ticket #953 | imprimante | 3 tache(s) | IDs GLPI: 50066,50068,50069
Ticket #954 | Annuaire Outlook | 1 tache(s) | IDs GLPI: 50065
Ticket #959 | demande de téléphone sans fil - Service Info (Imprimerie) | 1 tache(s) | IDs GLPI: 50062
Ticket #960 | Accès adresse mail conservatoire | 2 tache(s) | IDs GLPI: 50060,50061
Ticket #961 | Droits d'administration sur mon poste | 2 tache(s) | IDs GLPI: 50055,50056
Ticket #962 | Demande de création de compte Outlook - Hania Touati | 1 tache(s) | IDs GLPI: 50054
Ticket #963 | Problème Impression | 1 tache(s) | IDs GLPI: 50051
Ticket #964 | droits messagerie et téléphonie V.Centonze | 2 tache(s) | IDs GLPI: 50045,50047
Ticket #965 | problème relation aprobation | 1 tache(s) | IDs GLPI: 50040
Ticket #966 | demande de modification  | 2 tache(s) | IDs GLPI: 50035,50037
Ticket #968 | Pas d'accès sur la messagerie Outlook  | 1 tache(s) | IDs GLPI: 50034
Ticket #969 | TR: Boîte aux lettres saturée | 1 tache(s) | IDs GLPI: 50033
Ticket #971 | droits | 1 tache(s) | IDs GLPI: 50031
Ticket #972 | Fiche d'arrivée/changement/départ | 1 tache(s) | IDs GLPI: 50029
Ticket #974 | Poste xp à remplacer en 10 | 2 tache(s) | IDs GLPI: 50022,50023
Ticket #975 | arrivée de Mme KHELFA Mériem | 2 tache(s) | IDs GLPI: 50018,50019
Ticket #977 | TR: droits | 2 tache(s) | IDs GLPI: 50013,50014
Ticket #978 | Fiche_arrivee_changement_service_depart | 3 tache(s) | IDs GLPI: 50009,50011,50012
Ticket #979 | Fiche arrivée nouvel agent au Conservatoire | 3 tache(s) | IDs GLPI: 50005,50007,50008
Ticket #980 | RE: ACCES K:\GAPI-Livraisons | 2 tache(s) | IDs GLPI: 50003,50004
Ticket #982 | Fiche arrivée remplie | 2 tache(s) | IDs GLPI: 49998,50000
Ticket #983 | J'ai à nouveau un problème de liaison dans l'avant seine électronique | 2 tache(s) | IDs GLPI: 49996,49997
Ticket #986 | Blocage Sophos | 1 tache(s) | IDs GLPI: 49992
Ticket #991 | Demande de protection spécifique d'un document excel  | 2 tache(s) | IDs GLPI: 49985,49986
Ticket #993 | TR: Quarantine Report for mdemir@ivry94.fr | 1 tache(s) | IDs GLPI: 49982
Ticket #994 | TR: accès à "X" Médecine Générale | 2 tache(s) | IDs GLPI: 49979,49980
Ticket #995 | Profil temporaire | 3 tache(s) | IDs GLPI: 49975,49976,49977
Ticket #997 | Pb de micro coupure TPE | 1 tache(s) | IDs GLPI: 49971
Ticket #999 | Demande d'intervention. | 2 tache(s) | IDs GLPI: 49965,49966
Ticket #1000 | problème de rattachement d'imprimante | 2 tache(s) | IDs GLPI: 49963,49964
Ticket #1001 | imprimante | 1 tache(s) | IDs GLPI: 49961
Ticket #1002 | OUVERTURE SESSION | 1 tache(s) | IDs GLPI: 49959
Ticket #1003 | ouverture de droits sur dossier public | 1 tache(s) | IDs GLPI: 49957
Ticket #1007 | pas d'impression | 1 tache(s) | IDs GLPI: 49951
Ticket #1008 | non accès au reseau | 1 tache(s) | IDs GLPI: 49949
Ticket #1009 | problèmes de connexion logiciels Coriolis et Elise | 1 tache(s) | IDs GLPI: 49947
Ticket #1014 | RE CMS : Droit S. CAPPELLI | 2 tache(s) | IDs GLPI: 49940,49942
Ticket #1019 | URGENT boite mail saturée | 2 tache(s) | IDs GLPI: 49935,49938
Ticket #1021 | Accès X DBC | 1 tache(s) | IDs GLPI: 49933
Ticket #1024 | logiciel PDF | 1 tache(s) | IDs GLPI: 49930
Ticket #1025 | TR: pas d'impression | 1 tache(s) | IDs GLPI: 49928
Ticket #1026 | TR: imprimante Quincey | 1 tache(s) | IDs GLPI: 49925
Ticket #1027 | Nouveaux locaux Extension Gerard Philippe (Ex Biennale des poetes) | 2 tache(s) | IDs GLPI: 49923,49924
Ticket #1029 | Question.... | 1 tache(s) | IDs GLPI: 49920
Ticket #1031 | remplacement écran | 1 tache(s) | IDs GLPI: 49917
Ticket #1032 | pb de son | 2 tache(s) | IDs GLPI: 49914,49915
Ticket #1033 | Dossier Commun | 2 tache(s) | IDs GLPI: 49909,49910
Ticket #1034 | Rispal Tony petites demandes | 1 tache(s) | IDs GLPI: 49908
Ticket #1035 | RE: difficulté de selection de format | 3 tache(s) | IDs GLPI: 49903,49904,49905
Ticket #1036 | probleme boite mail | 1 tache(s) | IDs GLPI: 49901
Ticket #1038 | Nouvelle adresse mail | 4 tache(s) | IDs GLPI: 49891,49894,49895,49896
Ticket #1041 | Proglème logiciel | 1 tache(s) | IDs GLPI: 49887
Ticket #1042 | Coupure de courant le mardi 21 janvier entre 9 et 11 H - GS Makarenko | 1 tache(s) | IDs GLPI: 49885
Ticket #1043 | RE: Coupure de courant le mardi 21 janvier entre 9 et 11 H - GS Makarenko | 1 tache(s) | IDs GLPI: 49883
Ticket #1045 | GYM EPINETTES | 2 tache(s) | IDs GLPI: 49880,49881
Ticket #1046 | problème de scanner | 1 tache(s) | IDs GLPI: 49878
Ticket #1047 | Document1 | 3 tache(s) | IDs GLPI: 49874,49875,49877
Ticket #1049 | Netoyage disque ? | 1 tache(s) | IDs GLPI: 49872
Ticket #1052 | lien avec la messagerie à revoir sur PlanningBiblio | 1 tache(s) | IDs GLPI: 49870
Ticket #1053 | imprimante par défaut "saute" | 1 tache(s) | IDs GLPI: 49869
Ticket #1055 | TR: demande adresse mail externe | 2 tache(s) | IDs GLPI: 49867,49868
Ticket #1056 | Téléphonie | 1 tache(s) | IDs GLPI: 49865
Ticket #1058 | Acces site | 1 tache(s) | IDs GLPI: 49863
Ticket #1059 | demande de restauration dossier | 2 tache(s) | IDs GLPI: 49857,49859
Ticket #1060 | demande création lecteur I | 2 tache(s) | IDs GLPI: 49855,49856
Ticket #1061 | problème câble écran VGA/display port | 1 tache(s) | IDs GLPI: 49854
Ticket #1063 | ordinateur | 1 tache(s) | IDs GLPI: 49849
Ticket #1065 | Accès calendrier outlook | 2 tache(s) | IDs GLPI: 49847,49848
Ticket #1067 | Service Petite enfance | 1 tache(s) | IDs GLPI: 49846
Ticket #1068 | réservations de salle | 1 tache(s) | IDs GLPI: 49844
Ticket #1071 | Manque d'espace disque | 1 tache(s) | IDs GLPI: 49840
Ticket #1074 | TR: demande d'aide | 1 tache(s) | IDs GLPI: 49837
Ticket #1075 | Demande d'ouverture de compte | 4 tache(s) | IDs GLPI: 49833,49834,49835,49836
Ticket #1076 | TR: Quarantine Report for bnollet@ivry94.fr | 1 tache(s) | IDs GLPI: 49831
Ticket #1077 | Création de compte | 1 tache(s) | IDs GLPI: 49829
Ticket #1079 | Demande d'intervention de synchronisation de calendriers | 1 tache(s) | IDs GLPI: 49827
Ticket #1080 | Demande de quota | 1 tache(s) | IDs GLPI: 49825
Ticket #1082 | RE: accès dossier secteur MTV  DEP ( X:) &gt;RESPONSABLE SECRETARIAT MTV&gt; CONGES ANNUELS &gt; CONGES ANNUELS 2020 &gt; Secteur Voirie 2020 | 2 tache(s) | IDs GLPI: 49821,49823
Ticket #1083 | TR: Réorganisation AFD | 1 tache(s) | IDs GLPI: 49819
Ticket #1084 | Problème envoi mail | 1 tache(s) | IDs GLPI: 49815
Ticket #1085 | Bonjour   Je me permet de vous relance concernant ma demande d’augment | 1 tache(s) | IDs GLPI: 49813
Ticket #1086 | probleme affichage  | 1 tache(s) | IDs GLPI: 49811
Ticket #1087 | "Document non enregistré" | 1 tache(s) | IDs GLPI: 49810
Ticket #1088 | problème de clavier | 1 tache(s) | IDs GLPI: 49807
Ticket #1089 | IMuse - Conservatoire - Extranet | 1 tache(s) | IDs GLPI: 49806
Ticket #1090 | TR: imprimante en panne URGENT | 1 tache(s) | IDs GLPI: 49804
Ticket #1091 | TR: Quarantine Report for mdemir@ivry94.fr | 1 tache(s) | IDs GLPI: 49802
Ticket #1092 | bal saturée | 1 tache(s) | IDs GLPI: 49801
Ticket #1093 | Renvoi de poste erronné | 1 tache(s) | IDs GLPI: 49800
Ticket #1095 | Renvoi de poste erronné | 1 tache(s) | IDs GLPI: 49798
Ticket #1097 | Tony Rispal Rigaud Imprimante | 2 tache(s) | IDs GLPI: 49794,49795
Ticket #1098 | pb accès site https://ivr0141.epweb.pro/ | 1 tache(s) | IDs GLPI: 49792
Ticket #1099 | pas de lecteurs réseau | 3 tache(s) | IDs GLPI: 49787,49789,49791
Ticket #1100 | Bonjour,   Je viens vers vous car je ne peux plus accéder sur internet | 1 tache(s) | IDs GLPI: 49786
Ticket #1101 | Nombre d'appels | 1 tache(s) | IDs GLPI: 49785
Ticket #1103 | accès Mme Dubost Caroline | 2 tache(s) | IDs GLPI: 49782,49784
Ticket #1104 | mauvais lecteur X sur profil util | 1 tache(s) | IDs GLPI: 49780
Ticket #1108 | ajout util dans groupe impression | 2 tache(s) | IDs GLPI: 49777,49778
Ticket #1109 | TR: Droits admin sur nouveaux ordinateurs | 2 tache(s) | IDs GLPI: 49774,49775
Ticket #1113 | Messages supprimés | 1 tache(s) | IDs GLPI: 49773
Ticket #1116 | TR: Quarantine Report for eboscheron@ivry94.fr | 2 tache(s) | IDs GLPI: 49771,49772
Ticket #1117 | Fiche arrivée nouvelle venue | 3 tache(s) | IDs GLPI: 49768,49769,49770
Ticket #1118 | quota | 1 tache(s) | IDs GLPI: 49767
Ticket #1119 | TR: Quarantine Report for mbaticle@ivry94.fr | 1 tache(s) | IDs GLPI: 49764
Ticket #1121 | quota | 4 tache(s) | IDs GLPI: 49758,49760,49762,49763
Ticket #1122 | RE: Installation logiciel Finale | 1 tache(s) | IDs GLPI: 49757
Ticket #1124 | RE: problème sur un poste  | 1 tache(s) | IDs GLPI: 49756
Ticket #1125 | Problème CONCERTO | 2 tache(s) | IDs GLPI: 49754,49755
Ticket #1126 | Création d'une boite mail. | 2 tache(s) | IDs GLPI: 49752,49753
Ticket #1128 | URGENT Problème PC portable qui ne s'allume pas | 1 tache(s) | IDs GLPI: 49751
Ticket #1129 | Les liens entre le message d'Avant-Seine et le détail des article ne fonctionne plus | 1 tache(s) | IDs GLPI: 49750
Ticket #1131 | intervention imprimante | 1 tache(s) | IDs GLPI: 49746
Ticket #1133 | TR: Ouverture droit - Direction jeunesse | 1 tache(s) | IDs GLPI: 49745
Ticket #1137 | fichiers X SEBC et K | 2 tache(s) | IDs GLPI: 49740,49742
Ticket #1139 | Dossier dans DBC(X) | 1 tache(s) | IDs GLPI: 49739
Ticket #1142 | RE: Demande de déblocage d'accès internet | 1 tache(s) | IDs GLPI: 49737
Ticket #1145 | Dossier d'archives Outlook disparu à restaurer | 1 tache(s) | IDs GLPI: 49735
Ticket #1146 | Besoin d'accès à X:\ et K:\ sur le poste UC18097 | 1 tache(s) | IDs GLPI: 49733
Ticket #1148 | Droits d'accès DDU-Habitat | 1 tache(s) | IDs GLPI: 49732
Ticket #1149 | Changement cordon téléphonique  | 1 tache(s) | IDs GLPI: 49730
Ticket #1150 | creation lecteur I: | 1 tache(s) | IDs GLPI: 49729
Ticket #1151 | COURRIER / CHRONO | 1 tache(s) | IDs GLPI: 49727
Ticket #1152 | Photocopieur | 1 tache(s) | IDs GLPI: 49726
Ticket #1153 | Ouverture d'un dossier congés dans les dossiers publics, sous k:/ ou sous X:/ | 1 tache(s) | IDs GLPI: 49724
Ticket #1154 | modifier mail en ivry94.fr | 1 tache(s) | IDs GLPI: 49722
Ticket #1155 | Changement cordon téléphonique  | 1 tache(s) | IDs GLPI: 49720
Ticket #1157 | Quota | 1 tache(s) | IDs GLPI: 49719
Ticket #1158 | problem boite mail | 1 tache(s) | IDs GLPI: 49716
Ticket #1159 | TR: Demande d'installation logiciel pro interne | 1 tache(s) | IDs GLPI: 49714
Ticket #1160 | TR: Quarantine Report for ipetit@ivry94.fr | 1 tache(s) | IDs GLPI: 49712
Ticket #1161 | probleme | 1 tache(s) | IDs GLPI: 49711
Ticket #1164 | place réseau X | 1 tache(s) | IDs GLPI: 49706
Ticket #1165 | APPEL TELEPHONIQUE POSTE 2819 | 1 tache(s) | IDs GLPI: 49705
Ticket #1167 | TR: Quarantine Report for mbaticle@ivry94.fr | 2 tache(s) | IDs GLPI: 49702,49703
Ticket #1168 | URGENT | 1 tache(s) | IDs GLPI: 49701
Ticket #1170 | Bonjour,  Il semblerait que certains agents non pas accès sous X/ à ce | 2 tache(s) | IDs GLPI: 49698,49699
Ticket #1173 | Demande d'installation logiciel pro | 1 tache(s) | IDs GLPI: 49697
Ticket #1174 | quota à zéro | 2 tache(s) | IDs GLPI: 49695,49696
Ticket #1180 | pb sur droits accès lecteur K\GAPI-Livraison | 1 tache(s) | IDs GLPI: 49690
Ticket #1183 | Boîte mail collective "SuiviPhotocopieur" | 1 tache(s) | IDs GLPI: 49685
Ticket #1189 | RE: imprimante couleur | 1 tache(s) | IDs GLPI: 49678
Ticket #1193 | aucune impression sur HP M203 via UC18004 | 1 tache(s) | IDs GLPI: 49676
Ticket #1195 | TR: Ordinateur portable pour la Direction. | 1 tache(s) | IDs GLPI: 49672
Ticket #1202 | Pb impression Cecile ANDRE | 2 tache(s) | IDs GLPI: 49661,49662
Ticket #1204 | Relation d'approbation UC15080 | 2 tache(s) | IDs GLPI: 49655,49656
Ticket #1205 | DROIT ACCES DBC(x) schéma_Directeur_des_Equipements | 1 tache(s) | IDs GLPI: 49653
Ticket #1218 | Imprimante | 1 tache(s) | IDs GLPI: 49635
Ticket #1220 | TR: Demande de protection spécifique d'un document excel  | 1 tache(s) | IDs GLPI: 49632
Ticket #1223 | Plus de Tonalité sur la linge opérateur  | 1 tache(s) | IDs GLPI: 49628
Ticket #1229 | Restauration de dossier/fichier | 1 tache(s) | IDs GLPI: 49623
Ticket #1231 | Pièges photographiques. | 1 tache(s) | IDs GLPI: 49615
Ticket #1233 | Mot de passe | 1 tache(s) | IDs GLPI: 49609
Ticket #1234 | Dossier poubelle | 1 tache(s) | IDs GLPI: 49605
Ticket #1235 | Demande d'ouverture accès | 2 tache(s) | IDs GLPI: 49602,49603
Ticket #1240 | ajout imprimante | 1 tache(s) | IDs GLPI: 49596
Ticket #1241 | pb impression | 1 tache(s) | IDs GLPI: 49595
Ticket #1242 | demandes de mise à jour | 1 tache(s) | IDs GLPI: 49594
Ticket #1243 | problème projection sur video projecteur | 1 tache(s) | IDs GLPI: 49592
Ticket #1244 | parametrage session sur UC12010 | 1 tache(s) | IDs GLPI: 49591
Ticket #1245 | perte accès au fichier de sauvegarde messagerie | 1 tache(s) | IDs GLPI: 49590
Ticket #1246 | demande d'ouverture de droits | 2 tache(s) | IDs GLPI: 49585,49586
Ticket #1247 | problème suppression fichier | 1 tache(s) | IDs GLPI: 49583
Ticket #1248 | ajout imprimante | 1 tache(s) | IDs GLPI: 49582
Ticket #1251 | réinitialixation du mot de passe | 1 tache(s) | IDs GLPI: 49579
Ticket #1254 | demande aide sur partage calendrier | 1 tache(s) | IDs GLPI: 49576
Ticket #1255 | pb droits sur dossier et fichiers | 1 tache(s) | IDs GLPI: 49575
Ticket #1256 | UC18108 écran noir | 1 tache(s) | IDs GLPI: 49573
Ticket #1262 | pb fichier archive outlook | 1 tache(s) | IDs GLPI: 49567
Ticket #1263 | Problème stockage archives mail | 1 tache(s) | IDs GLPI: 49566
Ticket #1264 | Demande de droits sur dossier K | 1 tache(s) | IDs GLPI: 49565
Ticket #1267 | RE: HELP | 1 tache(s) | IDs GLPI: 49561
Ticket #1283 | probleme recurent  | 1 tache(s) | IDs GLPI: 49543
Ticket #1285 | Ouverture session informatique  | 1 tache(s) | IDs GLPI: 49539
Ticket #1286 | Service Petite enfance / Installation Teamviewer | 3 tache(s) | IDs GLPI: 49535,49536,49537
Ticket #1288 | TR: urgent pas d'impression | 1 tache(s) | IDs GLPI: 49533
Ticket #1290 | PC en train de mourir.... | 1 tache(s) | IDs GLPI: 49529
Ticket #1294 | Accès serveur partagé sous-rep de ALX_Garage | 1 tache(s) | IDs GLPI: 49524
Ticket #1296 | poste 2789 POILEVET Pierre   non fonctionnel | 1 tache(s) | IDs GLPI: 49521
Ticket #1299 | RE: Demande matériel + connexion réseau M. Mayindu Matondo Michel | 1 tache(s) | IDs GLPI: 49519
Ticket #1301 | TR: mail.ivry94.fr Mail delivery failed : returning message to sender | 1 tache(s) | IDs GLPI: 49515
Ticket #1302 | accès internet nok | 1 tache(s) | IDs GLPI: 49513
Ticket #1303 | l'impossibilité d'envoyer les messages sur une adresse Orange.fr | 1 tache(s) | IDs GLPI: 49512
Ticket #1304 | Accès teamviewer | 1 tache(s) | IDs GLPI: 49510
Ticket #1308 | Droits d'accès au rép X_DBC_Schéma Directeur de Maintenance pour projet MAINTENANCE BATIMENTS | 1 tache(s) | IDs GLPI: 49506
Ticket #1310 | demande de création de compte | 1 tache(s) | IDs GLPI: 49502
Ticket #1311 | droits d'accès à teamviewer | 1 tache(s) | IDs GLPI: 49500
Ticket #1312 | Carnet d'adresses outlook | 1 tache(s) | IDs GLPI: 49498
Ticket #1313 | application reprographie. | 2 tache(s) | IDs GLPI: 49494,49495
Ticket #1314 | configuration profil | 1 tache(s) | IDs GLPI: 49491
Ticket #1315 | soupçon spam | 1 tache(s) | IDs GLPI: 49490
Ticket #1318 | Mot de passe oublié de Madame Ouddak | 1 tache(s) | IDs GLPI: 49485
Ticket #1319 | adobe reader s'ouvre et se ferme | 1 tache(s) | IDs GLPI: 49484
Ticket #1323 | demande quota sur lecteur T | 1 tache(s) | IDs GLPI: 49481
Ticket #1325 | TR: mail.ivry94.fr Mail delivery failed : returning message to sender | 1 tache(s) | IDs GLPI: 49478
Ticket #1326 | TR: mail.ivry94.fr Mail delivery failed : returning message to sender | 1 tache(s) | IDs GLPI: 49476
Ticket #1327 | TR: mail.ivry94.fr Mail delivery failed : returning message to sender | 1 tache(s) | IDs GLPI: 49474
Ticket #1329 | pas posible d'envoyer des messages à l'extérieur. | 1 tache(s) | IDs GLPI: 49471
Ticket #1336 | MOT DE PASSE | 1 tache(s) | IDs GLPI: 49468
Ticket #1341 | TR: accès dossier secteur MTV  DEP ( X:) &gt;RESPONSABLE SECRETARIAT MTV&gt; CONGES ANNUELS &gt; CONGES ANNUELS 2020 &gt; Secteur Voirie 2020 | 1 tache(s) | IDs GLPI: 49462
Ticket #1344 | RE: [GLPI #0001276] Ticket résolu scan | 1 tache(s) | IDs GLPI: 49459
Ticket #1351 | problème mot de passe | 1 tache(s) | IDs GLPI: 49457
Ticket #1352 | problème d'impression doctolib | 2 tache(s) | IDs GLPI: 49454,49455
Ticket #1354 | problème stockage | 1 tache(s) | IDs GLPI: 49453
Ticket #1358 | TR: Prise de main ordi | 1 tache(s) | IDs GLPI: 49451
Ticket #1361 | poste qui bip | 3 tache(s) | IDs GLPI: 49445,49446,49447
Ticket #1367 | Fiche d'arrivée pour Mr Serge Clavé  | 1 tache(s) | IDs GLPI: 49440
Ticket #1369 | probleme acces astech  | 2 tache(s) | IDs GLPI: 49436,49437
Ticket #1370 | création de compte mail. | 1 tache(s) | IDs GLPI: 49433
Ticket #1382 | Calendriers des salles de formation | 1 tache(s) | IDs GLPI: 49422
Ticket #1385 | demande augmentation quota utilisateur | 1 tache(s) | IDs GLPI: 49420
Ticket #1386 | TR: Problème d'archivage des mails | 1 tache(s) | IDs GLPI: 49418
Ticket #1389 | Changeemnt de Poste  | 1 tache(s) | IDs GLPI: 49414
Ticket #1390 | pb ouverture session sur uc19014 | 1 tache(s) | IDs GLPI: 49413
Ticket #1393 | Création adresse mail | 1 tache(s) | IDs GLPI: 49412
Ticket #1394 | Création d'une nouvelle utilisatrice | 1 tache(s) | IDs GLPI: 49410
Ticket #1397 | Message en externe non parvenu | 1 tache(s) | IDs GLPI: 49407
Ticket #1400 | utilisateur w10 | 1 tache(s) | IDs GLPI: 49403
Ticket #1402 | utilisateur w10 | 1 tache(s) | IDs GLPI: 49401
Ticket #1404 | dossier disparu sur lecteur X: DS | 1 tache(s) | IDs GLPI: 49399
Ticket #1408 | imprimante | 1 tache(s) | IDs GLPI: 49395
Ticket #1410 | TR: Demande d'accès Portail | 2 tache(s) | IDs GLPI: 49393,49394
Ticket #1411 | Compte Pelehas | 1 tache(s) | IDs GLPI: 49390
Ticket #1413 | ajout imprimante | 1 tache(s) | IDs GLPI: 49387
Ticket #1414 | UC15075 - pb ouverture session | 1 tache(s) | IDs GLPI: 49385
Ticket #1418 | UC17144 - poste rame par moment sur requête dans Coriolis | 1 tache(s) | IDs GLPI: 49382
Ticket #1419 | parametrage profil Odile Jeanne sur UC16135 | 1 tache(s) | IDs GLPI: 49381
Ticket #1420 | au secours!!!! | 1 tache(s) | IDs GLPI: 49380
Ticket #1422 | Nouvel arrivant  | 2 tache(s) | IDs GLPI: 49377,49378
Ticket #1424 | : demande casque téléphonique | 1 tache(s) | IDs GLPI: 49374
Ticket #1425 | demande de matériel téléphonique | 1 tache(s) | IDs GLPI: 49372
Ticket #1427 | Probléme de trans | 1 tache(s) | IDs GLPI: 49370
Ticket #1429 | PB affichage Télé | 1 tache(s) | IDs GLPI: 49367
Ticket #1430 | quota à 460 Ko | 1 tache(s) | IDs GLPI: 49366
Ticket #1434 | TR: mail.ivry94.fr Mail delivery failed : returning message to sender | 1 tache(s) | IDs GLPI: 49362
Ticket #1435 | ajout imprimante | 2 tache(s) | IDs GLPI: 49359,49360
